time,frequency,confidence
2.450,392.973,0.972965
2.460,392.825,0.972619
2.470,393.118,0.972772
2.480,393.150,0.972152
2.490,392.917,0.972823
2.500,393.029,0.970703
2.510,392.917,0.971003
2.520,392.896,0.970882
2.530,393.059,0.971409
2.540,392.986,0.972420
2.550,393.035,0.973715
2.560,393.115,0.972345
2.570,392.936,0.973221
2.580,392.945,0.973598
2.590,392.895,0.973796
2.600,392.788,0.974075
2.610,393.082,0.974860
2.620,393.110,0.974874
2.630,393.807,0.960996
2.640,397.942,0.870586
2.650,409.115,0.583079
2.660,419.219,0.699433
2.670,419.006,0.702899
2.680,416.847,0.750814
2.690,415.420,0.774007
2.700,413.972,0.910631
2.710,415.049,0.926349
2.720,415.997,0.913408
2.730,414.836,0.896784
2.740,414.307,0.897554
2.750,414.992,0.915301
2.760,415.330,0.914740
2.770,414.508,0.901813
2.780,413.779,0.938375
2.790,414.320,0.937786
2.800,415.404,0.942051
2.810,415.468,0.941588
2.820,415.054,0.938242
2.830,415.134,0.953737
2.840,415.693,0.955400
2.850,416.000,0.949494
2.860,415.436,0.949924
2.870,415.502,0.956265
2.880,415.703,0.959835
2.890,415.950,0.959864
2.900,415.807,0.957052
2.910,415.597,0.957400
2.920,415.710,0.961875
2.930,415.957,0.960245
2.940,415.833,0.957773
2.950,415.552,0.954667
2.960,415.571,0.958750
2.970,415.775,0.958062
2.980,415.837,0.958482
2.990,415.801,0.955630
3.000,415.614,0.952729
3.010,415.622,0.955225
3.020,415.650,0.956502
3.030,415.777,0.957281
3.040,415.791,0.961535
3.050,415.835,0.963112
3.060,415.770,0.961302
3.070,415.744,0.959531
3.080,415.660,0.962194
3.090,415.823,0.963126
3.100,415.857,0.963074
3.110,415.724,0.960963
3.120,415.739,0.960498
3.130,415.714,0.961249
3.140,415.699,0.961036
3.150,415.753,0.958779
3.160,415.705,0.956930
3.170,415.722,0.956877
3.180,415.842,0.960299
3.190,415.886,0.949847
3.200,420.506,0.629445
3.210,465.778,0.278961
3.220,467.027,0.573514
3.230,466.476,0.820682
3.240,467.187,0.909889
3.250,467.402,0.951811
3.260,467.625,0.972642
3.270,467.925,0.980542
3.280,467.815,0.978420
3.290,467.787,0.979819
3.300,467.738,0.980227
3.310,467.623,0.979346
3.320,467.522,0.980346
3.330,467.769,0.979727
3.340,467.581,0.978324
3.350,467.731,0.978459
3.360,467.742,0.979269
3.370,467.539,0.978680
3.380,467.471,0.980219
3.390,467.714,0.980277
3.400,467.515,0.978289
3.410,467.569,0.980308
3.420,467.779,0.979548
3.430,467.618,0.978960
3.440,467.513,0.980578
3.450,467.707,0.980004
3.460,467.496,0.978696
3.470,467.589,0.980643
3.480,467.648,0.979400
3.490,467.613,0.979072
3.500,467.558,0.980704
3.510,467.655,0.979619
3.520,467.591,0.978988
3.530,467.628,0.980953
3.540,467.620,0.979449
3.550,467.691,0.979268
3.560,467.611,0.980733
3.570,467.548,0.979613
3.580,467.605,0.978967
3.590,467.624,0.980537
3.600,467.536,0.979182
3.610,467.577,0.979586
3.620,467.595,0.980386
3.630,467.505,0.979385
3.640,467.565,0.979439
3.650,467.587,0.980593
3.660,467.517,0.979166
3.670,467.551,0.979447
3.680,467.607,0.980308
3.690,467.515,0.978984
3.700,467.572,0.979352
3.710,467.622,0.980445
3.720,467.543,0.978711
3.730,467.593,0.979451
3.740,467.651,0.980217
3.750,467.567,0.978814
3.760,467.622,0.979724
3.770,467.621,0.979971
3.780,467.620,0.979203
3.790,467.600,0.980094
3.800,467.832,0.977130
3.810,468.484,0.974831
3.820,468.730,0.935780
3.830,470.205,0.776222
3.840,259.599,0.356967
3.850,517.947,0.574905
3.860,519.304,0.613895
3.870,519.170,0.799846
3.880,520.148,0.758283
3.890,520.748,0.754066
3.900,519.469,0.731998
3.910,519.991,0.726860
3.920,519.449,0.755572
3.930,520.802,0.702743
3.940,521.192,0.753529
3.950,521.291,0.745025
3.960,523.119,0.763743
3.970,522.178,0.762874
3.980,523.601,0.789975
3.990,521.978,0.789023
4.000,523.690,0.798067
4.010,522.916,0.816382
4.020,522.563,0.818482
4.030,523.230,0.848781
4.040,523.316,0.867222
4.050,524.518,0.893115
4.060,524.017,0.896834
4.070,524.629,0.905175
4.080,524.386,0.915592
4.090,524.681,0.926270
4.100,524.918,0.920411
4.110,524.234,0.927340
4.120,524.973,0.920195
4.130,524.198,0.938452
4.140,524.757,0.931713
4.150,524.159,0.940555
4.160,524.866,0.944973
4.170,524.745,0.947269
4.180,524.858,0.949148
4.190,524.843,0.943232
4.200,524.612,0.950156
4.210,524.931,0.948030
4.220,524.920,0.953787
4.230,524.676,0.949303
4.240,524.916,0.955053
