time,frequency,confidence
2.450,259.947,0.834448
2.460,261.927,0.859557
2.470,262.438,0.887167
2.480,261.296,0.894447
2.490,260.349,0.932592
2.500,259.605,0.950206
2.510,259.951,0.932254
2.520,261.189,0.911623
2.530,262.520,0.925412
2.540,262.750,0.932768
2.550,261.924,0.950814
2.560,261.193,0.941386
2.570,260.672,0.938531
2.580,260.961,0.932580
2.590,261.878,0.945458
2.600,262.525,0.950184
2.610,262.572,0.958067
2.620,262.098,0.957161
2.630,261.371,0.952893
2.640,261.231,0.948173
2.650,261.502,0.952283
2.660,262.081,0.958397
2.670,262.414,0.958678
2.680,262.381,0.960734
2.690,262.065,0.966866
2.700,261.746,0.961465
2.710,261.505,0.955016
2.720,261.754,0.959124
2.730,262.062,0.958878
2.740,262.265,0.962119
2.750,262.168,0.961528
2.760,262.012,0.963290
2.770,261.846,0.964286
2.780,261.953,0.963736
2.790,263.219,0.935849
2.800,264.014,0.891737
2.810,262.361,0.877110
2.820,262.764,0.817316
2.830,262.351,0.775540
2.840,261.909,0.765240
2.850,293.882,0.568961
2.860,293.906,0.600509
2.870,294.216,0.565951
2.880,293.418,0.593061
2.890,293.679,0.684960
2.900,294.909,0.675906
2.910,293.996,0.740664
2.920,293.803,0.785431
2.930,294.564,0.828905
2.940,294.192,0.847744
2.950,293.964,0.854753
2.960,294.798,0.886855
2.970,294.848,0.904590
2.980,294.170,0.904082
2.990,295.012,0.935754
3.000,294.772,0.921370
3.010,294.306,0.927548
3.020,294.760,0.950517
3.030,294.880,0.959135
3.040,294.662,0.945785
3.050,294.787,0.959299
3.060,295.004,0.967739
3.070,294.715,0.962627
3.080,294.875,0.967906
3.090,294.908,0.972439
3.100,294.785,0.970583
3.110,294.724,0.973523
3.120,294.796,0.975475
3.130,294.583,0.972189
3.140,294.702,0.976880
3.150,294.792,0.979480
3.160,294.760,0.977012
3.170,294.632,0.978786
3.180,294.732,0.979633
3.190,294.730,0.976594
3.200,294.631,0.977806
3.210,294.790,0.978657
3.220,294.627,0.978271
3.230,294.528,0.978270
3.240,294.702,0.980270
3.250,294.732,0.978721
3.260,295.515,0.952752
3.270,295.725,0.874313
3.280,296.551,0.613131
3.290,294.162,0.574950
3.300,332.218,0.687323
3.310,295.348,0.595792
3.320,331.743,0.708676
3.330,331.412,0.763294
3.340,330.143,0.750506
3.350,330.235,0.820289
3.360,329.761,0.859801
3.370,329.871,0.870869
3.380,330.311,0.902873
3.390,330.031,0.889290
3.400,330.464,0.916847
3.410,330.108,0.935058
3.420,330.038,0.925504
3.430,329.942,0.926776
3.440,329.892,0.932916
3.450,330.097,0.927316
3.460,329.984,0.939409
3.470,329.849,0.944753
3.480,330.019,0.944988
3.490,329.917,0.950311
3.500,329.521,0.950149
3.510,329.842,0.948085
3.520,329.851,0.952502
3.530,330.021,0.966229
3.540,330.234,0.961009
3.550,330.207,0.960756
3.560,330.065,0.962519
3.570,330.007,0.955571
3.580,329.970,0.960768
3.590,329.953,0.957277
3.600,329.958,0.953045
3.610,329.695,0.953205
3.620,329.816,0.952199
3.630,329.713,0.946435
3.640,329.798,0.956953
3.650,330.087,0.959731
3.660,330.023,0.961653
3.670,330.041,0.961769
3.680,330.120,0.952224
3.690,329.985,0.951919
3.700,329.934,0.952520
3.710,330.011,0.954035
3.720,329.894,0.951812
3.730,330.152,0.927767
3.740,332.624,0.769529
3.750,368.938,0.430482
3.760,370.477,0.747108
3.770,371.065,0.890721
3.780,371.913,0.922672
3.790,372.029,0.918142
3.800,370.881,0.909425
3.810,371.519,0.918002
3.820,371.183,0.937705
3.830,370.790,0.905032
3.840,370.816,0.935310
3.850,370.504,0.931058
3.860,371.028,0.945034
3.870,370.741,0.948869
3.880,370.699,0.940622
3.890,370.712,0.950549
3.900,370.738,0.947750
3.910,370.895,0.953827
3.920,370.264,0.951089
3.930,370.727,0.953253
3.940,370.746,0.957969
3.950,370.302,0.951288
3.960,370.706,0.955173
3.970,370.577,0.957903
3.980,370.544,0.955723
3.990,370.447,0.957054
4.000,370.525,0.957440
4.010,370.675,0.958049
4.020,370.262,0.953335
4.030,370.712,0.957838
4.040,370.642,0.960458
4.050,370.410,0.956380
4.060,370.611,0.961276
4.070,370.527,0.960686
4.080,370.739,0.960134
4.090,370.499,0.960630
4.100,370.739,0.960224
4.110,370.794,0.961754
4.120,370.498,0.958457
4.130,370.616,0.961724
4.140,370.687,0.961621
4.150,370.572,0.957755
4.160,370.542,0.962181
4.170,370.835,0.960323
4.180,370.806,0.952941
4.190,372.620,0.908499
4.200,383.069,0.637349
4.210,395.233,0.802996
4.220,395.674,0.858752
4.230,395.031,0.904741
4.240,394.556,0.935508
4.250,393.503,0.953004
4.260,392.914,0.960793
4.270,393.656,0.959468
4.280,393.606,0.965472
4.290,392.809,0.964447
4.300,392.379,0.963415
4.310,393.112,0.961131
4.320,393.505,0.967341
4.330,393.151,0.968518
4.340,392.730,0.967004
4.350,392.781,0.964806
4.360,393.128,0.966293
4.370,392.958,0.966151
4.380,392.524,0.966606
4.390,392.238,0.963348
4.400,392.798,0.965946
4.410,393.010,0.969185
4.420,392.799,0.966526
4.430,392.603,0.964485
4.440,392.573,0.963666
4.450,392.926,0.964503
4.460,392.991,0.966280
4.470,392.668,0.967018
4.480,392.699,0.966303
4.490,392.866,0.966814
4.500,392.945,0.967730
4.510,392.803,0.966068
4.520,392.581,0.968511
4.530,392.612,0.967636
4.540,393.016,0.969225
4.550,392.919,0.970426
4.560,392.810,0.967542
4.570,392.814,0.967430
4.580,392.749,0.967579
4.590,392.922,0.965581
4.600,392.889,0.967482
4.610,392.696,0.968082
4.620,392.799,0.967243
4.630,392.924,0.967517
4.640,392.830,0.967276
4.650,392.811,0.966430
4.660,392.649,0.969371
4.670,392.446,0.963772
4.680,391.939,0.954856
4.690,391.217,0.915164
4.700,390.797,0.762422
4.710,384.508,0.528140
4.720,380.352,0.605641
4.730,380.068,0.799839
4.740,378.624,0.834824
4.750,377.206,0.649299
4.760,374.902,0.631815
4.770,375.725,0.682781
4.780,379.153,0.810356
4.790,377.155,0.780370
4.800,374.169,0.669147
4.810,372.803,0.813176
4.820,374.170,0.867642
4.830,374.072,0.896454
4.840,372.211,0.884414
4.850,371.523,0.872064
4.860,371.479,0.928099
4.870,372.810,0.925738
4.880,372.574,0.930906
4.890,371.186,0.914292
4.900,370.580,0.930966
4.910,371.816,0.954232
4.920,371.709,0.957278
4.930,370.854,0.945760
4.940,370.197,0.935942
4.950,370.780,0.950113
4.960,371.563,0.959848
4.970,371.085,0.957328
4.980,370.498,0.950649
4.990,370.521,0.953844
5.000,370.894,0.959354
5.010,371.077,0.964795
5.020,370.753,0.959082
5.030,370.457,0.956380
5.040,370.270,0.955509
5.050,371.068,0.963603
5.060,371.076,0.962685
5.070,370.536,0.956770
5.080,370.424,0.959219
5.090,370.730,0.962688
5.100,370.946,0.962385
5.110,370.551,0.958241
5.120,370.642,0.959029
5.130,370.683,0.961505
5.140,370.886,0.960356
5.150,371.792,0.930583
5.160,371.240,0.844655
5.170,371.531,0.809871
5.180,370.935,0.772256
5.190,369.184,0.551529
5.200,330.236,0.536226
5.210,331.705,0.635235
5.220,332.180,0.718607
5.230,330.630,0.680675
5.240,331.616,0.690583
5.250,330.179,0.707213
5.260,330.661,0.782109
5.270,331.591,0.810328
5.280,330.882,0.812598
5.290,331.731,0.836551
5.300,330.806,0.810984
5.310,330.378,0.862687
5.320,330.636,0.868640
5.330,329.787,0.865400
5.340,330.435,0.899532
5.350,330.337,0.897566
5.360,330.440,0.900950
5.370,331.013,0.915154
5.380,330.306,0.916634
5.390,330.585,0.937187
5.400,330.279,0.922862
5.410,330.090,0.939490
5.420,330.666,0.945136
5.430,329.809,0.928629
5.440,329.940,0.948389
5.450,329.665,0.930488
5.460,329.777,0.937956
5.470,330.200,0.954333
5.480,330.080,0.946685
5.490,330.256,0.961021
5.500,329.957,0.954009
5.510,330.021,0.954535
5.520,330.176,0.960246
5.530,329.881,0.945840
5.540,330.181,0.960035
5.550,329.870,0.947259
5.560,329.642,0.936967
5.570,329.613,0.941303
5.580,329.561,0.929988
5.590,329.832,0.951641
5.600,329.972,0.954698
5.610,330.190,0.957646
5.620,330.552,0.920492
5.630,329.700,0.802721
5.640,330.547,0.751274
5.650,330.080,0.467780
5.660,295.114,0.646574
5.670,294.901,0.806108
5.680,295.613,0.861613
5.690,294.744,0.925038
5.700,294.371,0.946570
5.710,295.334,0.940111
5.720,295.186,0.947773
