time,frequency,confidence
2.450,469.559,0.923693
2.460,468.928,0.669039
2.470,468.533,0.489407
2.480,468.467,0.252472
2.490,561.203,0.441190
2.500,558.987,0.642889
2.510,556.588,0.667705
2.520,557.179,0.694321
2.530,556.588,0.711013
2.540,556.840,0.690894
2.550,557.852,0.739917
2.560,557.091,0.783343
2.570,557.265,0.801064
2.580,557.424,0.836009
2.590,557.092,0.838069
2.600,557.183,0.838171
2.610,557.330,0.848409
2.620,557.295,0.855142
2.630,557.167,0.874450
2.640,556.962,0.866589
2.650,556.575,0.868518
2.660,556.696,0.874678
2.670,556.576,0.882481
2.680,556.178,0.890394
2.690,556.159,0.881123
2.700,556.453,0.897337
2.710,556.621,0.899083
2.720,556.390,0.908912
2.730,556.295,0.900775
2.740,555.937,0.907092
2.750,557.090,0.894706
2.760,557.297,0.793639
2.770,556.715,0.485157
2.780,237.871,0.458774
2.790,236.713,0.482664
2.800,468.760,0.487437
2.810,469.838,0.825993
2.820,469.806,0.904821
2.830,469.932,0.886736
2.840,469.731,0.905405
2.850,469.424,0.899024
2.860,469.399,0.858625
2.870,468.746,0.858101
2.880,468.736,0.886984
2.890,469.276,0.881957
2.900,469.425,0.863247
2.910,469.572,0.819691
2.920,469.511,0.827838
2.930,470.002,0.800191
2.940,470.272,0.803718
2.950,470.019,0.766233
2.960,469.615,0.805464
2.970,469.862,0.831341
2.980,469.504,0.670031
2.990,468.352,0.461605
3.000,467.631,0.272987
3.010,234.730,0.262842
3.020,350.477,0.364443
3.030,117.349,0.409630
3.040,117.255,0.341615
3.050,350.326,0.593173
3.060,349.945,0.588390
3.070,349.349,0.646302
3.080,349.510,0.688942
3.090,349.226,0.676063
3.100,349.531,0.794028
3.110,349.407,0.734595
3.120,349.676,0.831100
3.130,349.503,0.762590
3.140,349.563,0.826388
3.150,349.645,0.826249
3.160,349.727,0.894374
3.170,349.692,0.894363
3.180,349.801,0.905169
3.190,349.629,0.886707
3.200,349.665,0.897267
3.210,349.565,0.904642
3.220,349.765,0.934256
3.230,349.601,0.919871
3.240,349.956,0.929756
3.250,349.520,0.896298
3.260,349.716,0.844478
3.270,349.197,0.659496
3.280,349.403,0.303535
3.290,561.049,0.439710
3.300,559.342,0.456920
3.310,558.595,0.586897
3.320,558.703,0.644244
3.330,558.820,0.617955
3.340,558.893,0.653485
3.350,559.208,0.635448
3.360,558.607,0.646657
3.370,558.481,0.688747
3.380,558.670,0.684117
3.390,559.253,0.751386
3.400,558.977,0.743195
3.410,558.901,0.780656
3.420,558.050,0.772929
3.430,557.915,0.817386
3.440,557.981,0.796526
3.450,557.985,0.819612
3.460,558.132,0.812586
3.470,558.435,0.809939
3.480,558.336,0.806186
3.490,557.939,0.776825
3.500,558.713,0.621739
3.510,557.274,0.509318
3.520,469.571,0.184917
3.530,469.896,0.494444
3.540,470.194,0.669162
3.550,469.672,0.476308
3.560,469.855,0.525182
3.570,470.106,0.588578
3.580,469.940,0.624902
3.590,469.168,0.622962
3.600,468.859,0.698779
3.610,469.351,0.662817
3.620,468.863,0.707660
3.630,468.519,0.743466
3.640,468.617,0.776688
3.650,468.996,0.821772
3.660,469.374,0.808859
3.670,469.387,0.822981
3.680,469.211,0.805052
3.690,469.044,0.889237
3.700,469.011,0.921067
3.710,468.879,0.927954
3.720,468.378,0.930831
3.730,468.438,0.942351
3.740,468.771,0.946327
3.750,469.000,0.936952
3.760,469.017,0.873470
3.770,468.368,0.332997
3.780,350.084,0.633268
3.790,350.324,0.652109
3.800,350.754,0.573725
3.810,117.453,0.660204
3.820,117.017,0.504796
3.830,349.730,0.528589
3.840,349.520,0.670493
3.850,349.157,0.755798
3.860,349.407,0.833682
3.870,349.296,0.824993
3.880,349.500,0.822909
3.890,349.288,0.822452
3.900,349.443,0.845747
3.910,349.239,0.852254
3.920,349.531,0.903361
3.930,349.344,0.889642
3.940,349.510,0.892558
3.950,349.278,0.881527
3.960,349.483,0.917765
3.970,349.245,0.903188
3.980,349.544,0.937548
3.990,349.532,0.922649
4.000,349.673,0.899119
4.010,349.202,0.803881
4.020,349.611,0.783923
4.030,349.076,0.503873
4.040,561.296,0.278349
4.050,560.438,0.510646
4.060,558.476,0.496373
4.070,558.433,0.592465
4.080,558.031,0.676214
4.090,558.830,0.647751
4.100,558.441,0.685793
4.110,558.753,0.677027
4.120,558.712,0.717651
4.130,558.692,0.702291
4.140,558.786,0.744592
4.150,558.705,0.751539
4.160,558.612,0.755910
4.170,558.493,0.780978
4.180,558.302,0.769102
4.190,558.152,0.826733
4.200,558.210,0.811453
4.210,557.956,0.838229
4.220,557.823,0.820880
4.230,557.687,0.830770
4.240,557.856,0.819220
4.250,557.243,0.744673
4.260,557.962,0.380896
4.270,469.481,0.112578
4.280,470.542,0.330882
4.290,470.916,0.621872
4.300,470.192,0.680407
4.310,469.911,0.729453
4.320,469.764,0.750052
4.330,469.060,0.667979
4.340,469.410,0.744731
4.350,468.667,0.757776
4.360,468.729,0.813817
4.370,468.812,0.811059
4.380,468.712,0.830783
4.390,468.429,0.872249
4.400,468.793,0.874834
4.410,468.821,0.863341
4.420,468.575,0.837366
4.430,468.792,0.865760
4.440,469.070,0.904386
4.450,469.079,0.932004
4.460,469.092,0.940837
4.470,469.468,0.912332
4.480,469.694,0.857375
4.490,469.229,0.638993
4.500,93.728,0.344713
4.510,93.626,0.339257
4.520,559.629,0.660911
4.530,557.896,0.806633
4.540,555.854,0.869662
4.550,555.544,0.876261
4.560,556.233,0.885393
4.570,556.819,0.895338
4.580,557.042,0.851488
4.590,556.906,0.856061
4.600,557.004,0.865793
4.610,556.918,0.872253
4.620,557.033,0.882933
4.630,556.667,0.887849
4.640,556.496,0.891585
4.650,556.318,0.899957
4.660,556.620,0.886041
4.670,556.006,0.880617
4.680,556.357,0.891993
4.690,556.665,0.882692
4.700,556.422,0.903304
4.710,556.057,0.904115
4.720,555.887,0.906667
4.730,556.050,0.909756
4.740,556.150,0.906226
4.750,556.633,0.744809
4.760,555.724,0.330179
4.770,238.696,0.375439
4.780,236.591,0.549602
4.790,235.874,0.401563
4.800,469.572,0.842548
4.810,469.805,0.916971
4.820,469.887,0.899205
4.830,470.110,0.794172
4.840,470.082,0.716980
4.850,469.846,0.756144
4.860,469.751,0.786461
4.870,469.457,0.845094
4.880,469.254,0.815230
4.890,469.363,0.818146
4.900,469.935,0.768409
4.910,470.333,0.726147
4.920,470.029,0.634032
4.930,470.135,0.727272
