time,frequency,confidence
2.450,349.853,0.982484
2.460,349.874,0.984255
2.470,349.901,0.982347
2.480,349.907,0.984522
2.490,351.084,0.966666
2.500,354.589,0.840887
2.510,364.014,0.778201
2.520,370.567,0.850606
2.530,371.745,0.880596
2.540,371.618,0.901527
2.550,371.135,0.907324
2.560,370.883,0.939847
2.570,370.607,0.936831
2.580,370.933,0.944332
2.590,370.846,0.944389
2.600,370.548,0.954815
2.610,370.412,0.957572
2.620,370.663,0.954598
2.630,370.699,0.951324
2.640,370.621,0.958770
2.650,370.856,0.965671
2.660,370.739,0.963056
2.670,370.533,0.953062
2.680,370.568,0.958683
2.690,370.719,0.962124
2.700,370.634,0.962034
2.710,370.465,0.961091
2.720,370.679,0.957745
2.730,370.723,0.958175
2.740,370.483,0.958948
2.750,370.504,0.963837
2.760,370.547,0.960608
2.770,370.517,0.956430
2.780,370.494,0.960881
2.790,370.753,0.962831
2.800,370.684,0.964070
2.810,370.410,0.959733
2.820,370.612,0.961530
2.830,370.774,0.962945
2.840,370.665,0.962499
2.850,370.613,0.965032
2.860,370.711,0.964026
2.870,370.759,0.962655
2.880,370.533,0.960581
2.890,370.821,0.965184
2.900,370.746,0.964065
2.910,370.602,0.959515
2.920,370.634,0.963415
2.930,370.720,0.962647
2.940,370.740,0.961610
2.950,370.551,0.961578
2.960,370.756,0.960669
2.970,370.789,0.962385
2.980,370.559,0.961057
2.990,370.637,0.964827
3.000,370.683,0.963476
3.010,370.468,0.948728
3.020,370.154,0.905509
3.030,374.633,0.498134
3.040,420.514,0.618815
3.050,416.410,0.714216
3.060,415.922,0.798409
3.070,415.291,0.877505
3.080,414.580,0.858021
3.090,414.469,0.858099
3.100,415.047,0.898482
3.110,414.788,0.873667
3.120,414.400,0.877322
3.130,414.420,0.866843
3.140,414.306,0.869294
3.150,414.286,0.857455
3.160,414.015,0.842533
3.170,414.189,0.867890
3.180,414.106,0.848620
3.190,414.732,0.904711
3.200,414.718,0.893377
3.210,415.052,0.911947
3.220,415.499,0.934504
3.230,415.543,0.926748
3.240,415.997,0.947906
3.250,415.690,0.932174
3.260,415.878,0.951964
3.270,415.566,0.927906
3.280,415.635,0.950151
3.290,415.631,0.940838
3.300,415.737,0.950508
3.310,415.848,0.955706
3.320,415.746,0.949714
3.330,416.048,0.956273
3.340,415.763,0.949202
3.350,415.906,0.956972
3.360,415.832,0.949757
3.370,415.971,0.960814
3.380,415.898,0.954291
3.390,415.865,0.956825
3.400,415.928,0.956409
3.410,415.683,0.956400
3.420,415.929,0.958388
3.430,415.829,0.958390
3.440,416.022,0.960634
3.450,415.786,0.956460
3.460,415.791,0.959753
3.470,415.738,0.958108
3.480,415.920,0.959703
3.490,415.931,0.959840
3.500,415.909,0.960312
3.510,415.824,0.960283
3.520,415.762,0.957003
3.530,415.822,0.961903
3.540,415.893,0.958202
3.550,415.867,0.953859
3.560,418.877,0.720575
3.570,467.097,0.448751
3.580,467.081,0.753428
3.590,466.262,0.884509
3.600,466.532,0.940016
3.610,467.855,0.966194
3.620,467.860,0.974943
3.630,467.933,0.977281
3.640,468.014,0.977706
3.650,467.626,0.976855
3.660,467.658,0.979853
3.670,467.888,0.978442
3.680,467.767,0.978655
3.690,467.733,0.979204
3.700,467.722,0.977922
3.710,467.640,0.976015
3.720,467.576,0.979945
3.730,467.614,0.978743
3.740,467.602,0.979213
3.750,467.612,0.980099
3.760,467.548,0.978481
3.770,467.651,0.978091
3.780,467.584,0.980748
3.790,467.602,0.979638
3.800,467.588,0.979725
3.810,467.618,0.980299
3.820,467.504,0.978763
3.830,467.652,0.979129
3.840,467.600,0.980419
3.850,467.570,0.979415
3.860,467.532,0.979696
3.870,467.636,0.980178
3.880,467.516,0.978936
3.890,467.637,0.979354
3.900,467.648,0.980499
3.910,467.583,0.979151
3.920,467.574,0.979372
3.930,467.652,0.980223
3.940,467.530,0.978636
3.950,467.629,0.979535
3.960,467.615,0.980001
3.970,467.612,0.979023
3.980,467.577,0.979730
3.990,467.599,0.980176
4.000,467.587,0.979264
4.010,467.627,0.980125
4.020,467.622,0.979761
4.030,467.609,0.979432
4.040,467.638,0.980059
4.050,467.573,0.979552
4.060,467.590,0.979374
4.070,467.709,0.980387
4.080,467.585,0.979496
4.090,467.613,0.979784
4.100,467.751,0.980540
4.110,467.589,0.979046
4.120,467.919,0.979772
4.130,468.616,0.977884
4.140,468.825,0.946775
4.150,468.277,0.906412
4.160,468.402,0.522527
4.170,467.535,0.703241
4.180,467.140,0.565769
4.190,516.688,0.585155
4.200,518.784,0.603909
4.210,518.381,0.677521
4.220,519.215,0.566126
4.230,518.751,0.660388
4.240,518.199,0.608855
4.250,519.249,0.547598
4.260,517.627,0.568523
4.270,519.155,0.560276
4.280,518.931,0.665249
4.290,520.024,0.633939
4.300,520.647,0.702855
4.310,521.071,0.696261
4.320,522.038,0.707523
4.330,520.675,0.710500
4.340,522.276,0.701913
4.350,521.531,0.735300
4.360,521.781,0.747069
4.370,521.804,0.795089
4.380,521.989,0.795684
4.390,523.633,0.835029
4.400,523.320,0.844924
4.410,524.328,0.871067
4.420,523.843,0.883937
4.430,524.564,0.899565
4.440,524.569,0.908126
4.450,524.210,0.913145
4.460,524.895,0.909140
4.470,524.151,0.926818
4.480,524.862,0.919586
4.490,523.973,0.932106
4.500,524.703,0.933891
4.510,524.414,0.942172
4.520,524.892,0.942169
4.530,524.801,0.939507
4.540,524.581,0.947835
4.550,524.927,0.945627
4.560,524.782,0.948155
4.570,524.723,0.945086
4.580,524.671,0.948249
4.590,524.462,0.950673
4.600,524.907,0.948341
4.610,524.459,0.950643
4.620,524.754,0.951029
4.630,524.741,0.957625
4.640,524.999,0.956668
4.650,524.904,0.954721
4.660,526.275,0.891480
4.670,528.098,0.625822
4.680,554.728,0.314434
4.690,553.573,0.266559
4.700,549.661,0.623949
4.710,552.396,0.816172
4.720,553.587,0.895934
4.730,554.404,0.915652
4.740,555.412,0.933145
4.750,555.420,0.938939
4.760,554.651,0.934665
4.770,554.623,0.928545
4.780,555.637,0.942325
4.790,555.073,0.939089
4.800,554.749,0.931746
4.810,554.814,0.939964
4.820,554.733,0.936238
4.830,554.906,0.928840
4.840,555.432,0.930879
4.850,555.333,0.940882
4.860,554.941,0.929218
4.870,555.389,0.930680
4.880,555.555,0.936490
4.890,555.164,0.929009
4.900,555.319,0.929441
4.910,555.794,0.936891
4.920,555.529,0.933939
4.930,555.575,0.930366
4.940,555.750,0.938398
4.950,555.402,0.932695
4.960,555.397,0.932111
4.970,555.527,0.934950
4.980,555.468,0.932623
4.990,555.366,0.929389
5.000,555.744,0.932380
5.010,555.698,0.937484
5.020,555.486,0.933848
5.030,555.416,0.935117
5.040,555.494,0.933750
5.050,555.373,0.931416
5.060,555.326,0.931889
5.070,555.556,0.934700
5.080,555.524,0.929123
5.090,555.711,0.933014
5.100,555.944,0.935518
5.110,555.776,0.935092
5.120,555.439,0.933581
5.130,555.404,0.934242
5.140,555.421,0.933142
5.150,555.368,0.931543
5.160,555.478,0.932725
5.170,555.624,0.932782
5.180,555.745,0.930083
5.190,555.817,0.935658
5.200,555.726,0.933388
5.210,555.560,0.936931
5.220,554.808,0.905388
5.230,550.870,0.715822
5.240,536.097,0.362301
5.250,525.224,0.548870
5.260,523.098,0.716111
5.270,524.032,0.824125
5.280,525.098,0.897630
5.290,524.316,0.935213
5.300,524.824,0.944693
5.310,525.474,0.937919
5.320,524.694,0.942423
5.330,525.122,0.954190
5.340,525.230,0.956239
5.350,524.920,0.951708
5.360,525.334,0.949345
5.370,525.801,0.951517
5.380,524.988,0.952030
5.390,525.215,0.955608
5.400,525.885,0.949284
5.410,525.172,0.952553
5.420,525.101,0.956385
5.430,525.872,0.955359
5.440,525.335,0.953807
5.450,524.969,0.956074
5.460,525.461,0.957338
5.470,525.438,0.956384
5.480,524.930,0.953555
5.490,525.311,0.957901
5.500,525.350,0.958845
5.510,525.027,0.958492
5.520,525.139,0.954328
5.530,525.254,0.956522
5.540,524.986,0.957843
5.550,525.081,0.959254
5.560,525.250,0.956881
5.570,524.947,0.956224
5.580,525.031,0.959656
5.590,525.269,0.959732
5.600,525.035,0.957630
5.610,524.774,0.958722
5.620,525.179,0.960266
5.630,525.059,0.960144
5.640,524.992,0.956824
5.650,524.975,0.957254
5.660,525.192,0.958467
5.670,524.987,0.958151
5.680,525.141,0.957603
5.690,524.832,0.957768
5.700,525.083,0.959104
5.710,524.871,0.960571
5.720,525.239,0.958748
5.730,524.941,0.955945
5.740,523.045,0.830219
5.750,235.512,0.243237
5.760,467.853,0.559035
5.770,466.580,0.869222
5.780,467.304,0.937112
5.790,467.350,0.966599
5.800,467.855,0.979247
5.810,467.946,0.981726
5.820,467.856,0.979846
5.830,467.760,0.979236
5.840,467.736,0.980116
5.850,467.665,0.979678
5.860,467.699,0.980194
5.870,467.732,0.980280
5.880,467.679,0.978674
5.890,467.676,0.979349
5.900,467.652,0.979624
5.910,467.565,0.979079
5.920,467.607,0.980085
5.930,467.602,0.979898
5.940,467.638,0.979500
5.950,467.614,0.979859
5.960,467.609,0.979446
5.970,467.619,0.979378
5.980,467.677,0.980282
5.990,467.576,0.979653
6.000,467.561,0.979432
6.010,467.712,0.980740
6.020,467.542,0.979512
6.030,467.579,0.980399
6.040,467.755,0.980617
6.050,467.556,0.979302
6.060,467.617,0.980058
6.070,467.747,0.980542
6.080,467.566,0.978895
6.090,467.591,0.980006
6.100,467.761,0.980596
6.110,467.550,0.978889
6.120,467.568,0.980385
6.130,467.790,0.980388
6.140,467.559,0.978926
6.150,467.550,0.980606
6.160,467.802,0.980157
6.170,467.564,0.979043
6.180,467.537,0.980719
6.190,467.738,0.980118
6.200,467.543,0.978844
6.210,467.558,0.980562
6.220,467.704,0.979812
6.230,467.575,0.978669
6.240,467.593,0.980715
6.250,467.708,0.980153
6.260,467.810,0.979347
6.270,467.739,0.959030
6.280,467.052,0.704891
6.290,466.412,0.493834
6.300,466.465,0.306506
6.310,465.137,0.334368
6.320,466.339,0.592838
6.330,466.295,0.649482
6.340,466.421,0.601577
6.350,466.495,0.737458
6.360,466.555,0.788689
6.370,466.789,0.807820
6.380,467.186,0.837562
6.390,466.744,0.779812
6.400,466.918,0.712516
6.410,466.625,0.720560
6.420,466.379,0.645174
6.430,465.951,0.612268
6.440,465.843,0.597818
6.450,465.148,0.485310
6.460,419.769,0.498128
6.470,419.024,0.497943
6.480,419.374,0.616165
6.490,418.152,0.663748
6.500,418.836,0.688010
6.510,417.904,0.738076
6.520,418.517,0.745739
6.530,417.856,0.754815
6.540,418.360,0.793291
6.550,417.255,0.822575
6.560,417.618,0.845855
6.570,417.005,0.876962
6.580,417.460,0.863002
6.590,416.675,0.888305
6.600,417.354,0.894374
6.610,416.516,0.906807
6.620,417.157,0.897798
6.630,416.490,0.919660
6.640,416.732,0.919176
6.650,416.168,0.932003
6.660,416.492,0.932090
6.670,416.152,0.941067
6.680,416.602,0.937995
6.690,415.970,0.948859
6.700,416.289,0.947337
6.710,415.824,0.947563
6.720,415.904,0.943332
6.730,415.759,0.954234
6.740,416.060,0.951137
6.750,415.914,0.956681
6.760,416.037,0.955022
6.770,415.799,0.956465
6.780,416.002,0.953616
6.790,415.854,0.958592
6.800,415.941,0.957064
6.810,415.969,0.958138
6.820,415.888,0.958589
6.830,415.798,0.959011
6.840,415.829,0.956729
6.850,415.826,0.959267
6.860,415.808,0.956958
6.870,415.791,0.956052
6.880,416.746,0.858262
6.890,411.730,0.552132
6.900,367.218,0.525703
6.910,372.777,0.832331
6.920,371.507,0.893104
6.930,372.311,0.931744
6.940,372.541,0.911031
6.950,371.984,0.911659
6.960,371.731,0.934344
6.970,371.765,0.938070
6.980,371.315,0.942688
6.990,371.284,0.952378
7.000,370.792,0.952823
7.010,371.406,0.955772
7.020,371.258,0.955935
7.030,371.082,0.956213
7.040,371.097,0.957564
7.050,371.061,0.956449
7.060,370.883,0.953311
7.070,370.549,0.958329
7.080,371.162,0.960140
7.090,370.857,0.959496
7.100,370.742,0.958174
7.110,370.665,0.958372
7.120,370.855,0.958752
7.130,370.597,0.956328
7.140,370.692,0.960753
7.150,370.724,0.959564
7.160,370.748,0.960936
7.170,370.607,0.960537
7.180,370.766,0.962563
7.190,370.826,0.963896
7.200,370.588,0.959807
7.210,370.748,0.964832
7.220,370.672,0.962269
7.230,370.749,0.960964
7.240,370.510,0.960175
7.250,370.889,0.963011
7.260,370.832,0.963408
7.270,370.543,0.960526
7.280,370.636,0.964227
7.290,370.686,0.961811
7.300,370.659,0.959678
7.310,370.517,0.961726
7.320,370.784,0.961200
7.330,370.729,0.961798
7.340,370.443,0.959723
7.350,370.567,0.961964
7.360,370.678,0.961518
7.370,370.573,0.960259
7.380,370.548,0.962637
7.390,370.681,0.961451
7.400,370.739,0.960681
7.410,370.574,0.956411
7.420,370.805,0.960680
7.430,370.748,0.958367
7.440,370.432,0.953864
7.450,370.529,0.960920
7.460,370.486,0.957005
7.470,370.579,0.956125
7.480,370.407,0.873133
7.490,368.954,0.498256
7.500,350.123,0.366304
7.510,351.202,0.661709
7.520,353.448,0.818111
7.530,353.889,0.836726
7.540,352.229,0.854894
7.550,350.830,0.903583
7.560,351.003,0.936894
7.570,352.206,0.937643
7.580,352.188,0.941839
7.590,351.481,0.954576
7.600,350.561,0.963649
7.610,350.546,0.967658
7.620,351.862,0.956126
7.630,352.041,0.957992
7.640,350.718,0.973070
7.650,350.343,0.977565
7.660,350.474,0.978427
7.670,350.919,0.978280
7.680,350.720,0.978837
7.690,350.253,0.980555
7.700,350.028,0.981841
7.710,350.234,0.981164
7.720,350.386,0.981485
7.730,350.370,0.981630
7.740,350.122,0.982990
7.750,350.004,0.981627
7.760,350.040,0.981457
7.770,350.219,0.981695
7.780,350.079,0.982812
7.790,350.046,0.983263
7.800,350.041,0.983916
7.810,349.961,0.981880
7.820,349.987,0.982876
7.830,350.074,0.982725
7.840,350.017,0.984123
7.850,349.898,0.982827
7.860,349.892,0.982882
7.870,349.992,0.982023
7.880,349.982,0.983363
7.890,349.933,0.982490
7.900,349.917,0.983213
7.910,349.921,0.982503
7.920,349.946,0.983164
7.930,349.950,0.983278
7.940,349.956,0.983679
7.950,349.936,0.982485
7.960,349.972,0.983265
7.970,349.951,0.983361
7.980,349.931,0.984231
7.990,349.833,0.982647
8.000,349.956,0.983845
8.010,350.362,0.977349
8.020,348.905,0.779662
8.030,350.743,0.592429
8.040,306.816,0.431176
8.050,310.281,0.685278
8.060,311.879,0.846763
8.070,313.713,0.904851
8.080,315.470,0.921264
8.090,313.673,0.929292
8.100,312.949,0.943832
8.110,312.739,0.949753
8.120,311.763,0.939303
8.130,311.864,0.944023
8.140,312.110,0.937136
8.150,311.944,0.931543
8.160,311.598,0.850546
8.170,311.524,0.774188
8.180,311.984,0.797708
8.190,311.786,0.892680
8.200,312.331,0.928203
8.210,312.134,0.946518
8.220,312.056,0.955255
8.230,312.347,0.960930
8.240,311.985,0.961613
8.250,312.057,0.965448
8.260,312.182,0.968722
8.270,311.973,0.965377
8.280,312.118,0.970306
8.290,311.995,0.968967
8.300,312.088,0.969388
8.310,311.920,0.969331
8.320,311.822,0.968557
8.330,312.036,0.969525
8.340,312.012,0.972504
8.350,311.838,0.969407
8.360,311.805,0.968787
8.370,311.586,0.969529
8.380,311.905,0.969099
8.390,311.678,0.965621
8.400,311.537,0.966234
8.410,311.565,0.964484
8.420,311.494,0.963950
8.430,311.587,0.963540
8.440,311.749,0.964705
8.450,311.600,0.964445
8.460,311.780,0.964391
8.470,311.887,0.963824
8.480,311.384,0.962409
8.490,311.301,0.958767
8.500,311.052,0.956647
8.510,311.250,0.963631
8.520,311.767,0.965378
8.530,311.611,0.959727
8.540,310.949,0.952797
8.550,311.350,0.964884
8.560,311.727,0.969110
8.570,311.785,0.966825
8.580,311.594,0.965310
8.590,311.429,0.967187
8.600,311.540,0.967934
8.610,311.518,0.966360
8.620,311.588,0.968550
8.630,311.660,0.968645
8.640,311.826,0.969290
8.650,310.732,0.841013
8.660,265.812,0.302693
8.670,274.632,0.577994
8.680,276.347,0.825786
8.690,276.936,0.910805
8.700,277.165,0.931791
8.710,278.224,0.938386
8.720,277.867,0.949452
8.730,278.130,0.934661
8.740,277.993,0.943126
8.750,277.674,0.942933
8.760,277.462,0.936863
8.770,277.569,0.937397
8.780,277.468,0.938955
8.790,277.475,0.945983
8.800,277.344,0.943099
8.810,277.138,0.950142
8.820,277.429,0.939705
8.830,277.220,0.947713
8.840,277.307,0.948769
8.850,277.454,0.947759
8.860,277.428,0.946812
8.870,277.405,0.949065
8.880,277.424,0.953424
8.890,277.334,0.949430
8.900,277.292,0.952895
8.910,277.388,0.947000
8.920,277.343,0.951921
8.930,277.356,0.950075
8.940,277.462,0.952612
8.950,277.389,0.947666
8.960,277.407,0.948489
8.970,277.378,0.953021
8.980,277.339,0.949234
8.990,277.322,0.951295
9.000,277.382,0.946412
9.010,277.395,0.950372
9.020,277.345,0.948339
9.030,277.389,0.952536
9.040,277.395,0.947969
9.050,277.386,0.947171
9.060,277.350,0.952448
9.070,277.352,0.948702
9.080,277.306,0.950872
9.090,277.385,0.945630
9.100,277.407,0.950476
9.110,277.349,0.948469
9.120,277.368,0.952014
9.130,277.377,0.948714
9.140,277.394,0.946857
9.150,277.336,0.951478
9.160,277.382,0.948623
9.170,277.318,0.950691
9.180,277.380,0.944457
9.190,277.376,0.949411
9.200,277.315,0.947182
9.210,277.344,0.950564
9.220,277.378,0.946934
9.230,277.395,0.945320
9.240,277.322,0.950147
9.250,277.365,0.947254
9.260,277.319,0.950218
9.270,277.380,0.943918
9.280,277.350,0.948319
9.290,277.261,0.943967
9.300,277.263,0.945660
9.310,277.476,0.926956
9.320,277.793,0.777469
9.330,277.878,0.580439
9.340,370.524,0.742200
9.350,371.162,0.868606
9.360,371.121,0.863032
9.370,371.695,0.903611
9.380,370.977,0.925926
9.390,371.234,0.903899
9.400,371.161,0.837236
9.410,368.211,0.710891
9.420,365.944,0.700492
9.430,365.563,0.784979
9.440,361.210,0.604851
9.450,356.713,0.542620
9.460,357.024,0.628902
9.470,362.432,0.746070
9.480,360.987,0.769001
9.490,357.047,0.693160
9.500,353.025,0.725762
9.510,355.632,0.714140
9.520,358.782,0.857641
9.530,357.180,0.854069
9.540,354.045,0.762714
9.550,351.876,0.835794
9.560,352.776,0.852812
9.570,355.242,0.875642
9.580,354.420,0.904603
9.590,352.104,0.873930
9.600,351.292,0.930299
9.610,351.825,0.921074
9.620,353.433,0.936931
9.630,352.292,0.937003
9.640,351.085,0.953393
9.650,350.574,0.966963
9.660,351.291,0.964736
9.670,352.121,0.957114
9.680,351.210,0.970821
9.690,350.307,0.974015
9.700,350.316,0.976779
9.710,350.487,0.974294
9.720,350.665,0.978506
9.730,350.447,0.980330
9.740,350.206,0.980958
9.750,350.016,0.981491
9.760,350.188,0.981841
9.770,350.326,0.982575
9.780,350.206,0.982664
9.790,349.891,0.982422
9.800,349.929,0.979136
9.810,350.234,0.969349
9.820,350.131,0.959145
9.830,349.722,0.947368
9.840,349.874,0.952186
9.850,350.279,0.955817
9.860,350.339,0.962910
9.870,350.158,0.968039
9.880,349.906,0.970892
9.890,349.877,0.969900
9.900,349.800,0.966349
9.910,349.991,0.962556
9.920,349.806,0.961945
9.930,349.748,0.962653
9.940,349.650,0.966430
9.950,349.698,0.962456
9.960,349.567,0.957846
9.970,349.538,0.956476
9.980,349.344,0.949671
9.990,349.050,0.905047
10.000,347.311,0.810437
