time,frequency,confidence
2.430,280.378,0.327635
2.440,41.181,0.044910
2.450,40.391,0.069202
2.460,39.060,0.019253
2.470,35.621,0.037504
2.480,223.957,0.231291
2.490,117.062,0.072718
2.500,33.882,0.055084
2.510,34.450,0.090900
2.520,54.175,0.040194
2.530,119.921,0.121893
2.540,161.525,0.122281
2.550,163.599,0.345265
2.560,158.105,0.464009
2.570,157.374,0.345350
2.580,107.776,0.197806
2.590,106.737,0.643401
2.600,106.286,0.814982
2.610,106.008,0.797497
2.620,104.740,0.791301
2.630,103.863,0.832473
2.640,104.004,0.869453
2.650,104.026,0.863442
2.660,103.426,0.702388
2.670,101.328,0.481462
2.680,98.980,0.045506
2.690,54.182,0.081059
2.700,38.073,0.055583
2.710,45.014,0.047156
2.720,144.231,0.126001
2.730,104.205,0.050084
2.740,100.386,0.131903
2.750,104.236,0.099216
2.760,115.371,0.084887
2.770,225.759,0.022575
2.780,227.779,0.151777
2.790,228.214,0.251160
2.800,234.483,0.083593
2.810,39.787,0.085387
2.820,140.631,0.014293
2.830,155.420,0.363810
2.840,145.751,0.665751
2.850,142.729,0.679365
2.860,139.575,0.809094
2.870,137.653,0.863091
2.880,136.367,0.899979
2.890,135.710,0.936751
2.900,135.808,0.925806
2.910,135.668,0.929254
2.920,135.393,0.925680
2.930,134.674,0.923981
2.940,133.537,0.873857
2.950,132.666,0.744378
2.960,126.790,0.401122
2.970,121.629,0.733296
2.980,117.185,0.461138
2.990,113.457,0.331130
3.000,107.632,0.438579
3.010,100.559,0.412422
3.020,98.559,0.413645
3.030,98.487,0.142168
3.040,42.869,0.060634
3.050,43.553,0.098033
3.060,36.064,0.253189
3.070,36.479,0.457242
3.080,45.716,0.072247
3.090,92.875,0.087688
3.100,183.437,0.105139
3.110,60.994,0.124046
3.120,132.850,0.133384
3.130,32.537,0.307965
3.140,32.718,0.272214
3.150,37.618,0.090255
3.160,37.625,0.644491
3.170,51.653,0.070269
3.180,45.495,0.054970
3.190,138.783,0.141877
3.200,44.634,0.019173
3.210,35.073,0.100233
3.220,139.187,0.041514
3.230,141.190,0.058521
3.240,150.216,0.117653
3.250,152.506,0.285511
3.260,156.036,0.405460
3.270,156.504,0.256136
3.280,134.336,0.067404
3.290,134.137,0.044793
3.300,1308.139,0.043074
3.310,1304.183,0.033357
3.320,1976.642,0.027744
3.330,226.143,0.011919
3.340,130.838,0.479954
3.350,131.706,0.388090
3.360,132.412,0.024121
3.370,35.952,0.064215
3.380,35.762,0.034363
3.390,107.613,0.182141
3.400,110.685,0.145260
3.410,55.451,0.083061
3.420,55.268,0.245863
3.430,55.745,0.179362
3.440,110.516,0.094374
3.450,103.961,0.283953
3.460,104.536,0.791777
3.470,104.691,0.811274
3.480,104.431,0.718900
3.490,101.724,0.597844
3.500,101.242,0.467413
3.510,101.594,0.231359
3.520,133.087,0.478553
3.530,125.063,0.566296
3.540,118.570,0.437030
3.550,115.109,0.468575
3.560,111.095,0.376841
3.570,107.369,0.322065
3.580,100.721,0.842639
3.590,100.541,0.853786
3.600,102.254,0.852765
3.610,103.320,0.863775
3.620,103.730,0.883539
3.630,104.437,0.838929
3.640,105.347,0.785062
3.650,106.676,0.852331
3.660,107.285,0.846867
3.670,108.524,0.865741
3.680,109.859,0.869078
3.690,111.233,0.841600
3.700,112.674,0.834590
3.710,113.334,0.841015
3.720,112.920,0.800110
3.730,111.402,0.779046
3.740,109.552,0.816995
3.750,108.285,0.763237
3.760,108.211,0.712350
3.770,108.690,0.666774
3.780,108.625,0.577400
3.790,108.972,0.677668
3.800,109.913,0.525974
3.810,113.892,0.594658
3.820,113.699,0.705688
3.830,113.552,0.726566
3.840,112.731,0.748510
3.850,110.626,0.829359
3.860,108.707,0.824717
3.870,106.288,0.779186
3.880,104.555,0.739518
3.890,103.001,0.687870
3.900,101.818,0.660342
3.910,101.365,0.584280
3.920,102.544,0.350607
3.930,412.439,0.157865
3.940,416.402,0.056638
3.950,1734.009,0.026646
3.960,148.175,0.115261
3.970,148.225,0.457627
3.980,109.085,0.178162
3.990,37.954,0.078918
4.000,32.776,0.221416
4.010,32.096,0.262059
4.020,95.191,0.748465
4.030,96.994,0.694141
4.040,97.982,0.748853
4.050,98.165,0.717939
4.060,98.710,0.492213
4.070,100.646,0.113293
4.080,128.502,0.065841
4.090,116.030,0.515378
4.100,114.614,0.635474
4.110,111.848,0.706676
4.120,110.124,0.861656
4.130,108.969,0.901495
4.140,108.534,0.881765
4.150,108.702,0.901709
4.160,109.584,0.890164
4.170,111.788,0.732987
4.180,114.568,0.774270
4.190,115.522,0.890170
4.200,115.736,0.898146
4.210,116.181,0.876400
4.220,117.931,0.813635
4.230,122.307,0.735745
4.240,125.912,0.836908
4.250,127.573,0.879079
